pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order,mastery
1,7,15,4,0,,
1,7,70,4,0,,
1,7,76,4,0,,
1,7,92,4,0,,
1,7,104,4,0,,
1,7,148,4,0,,
1,7,156,4,0,,
1,7,182,4,0,,
1,7,188,4,0,,
1,7,202,4,0,,
1,7,213,4,0,,
1,7,216,4,0,,
1,7,218,4,0,,
1,7,237,4,0,,
1,7,241,4,0,,
1,7,249,4,0,,
1,7,263,4,0,,
1,7,290,4,0,,
1,7,331,4,0,,
2,7,15,4,0,,
2,7,70,4,0,,
2,7,76,4,0,,
2,7,92,4,0,,
2,7,104,4,0,,
2,7,148,4,0,,
2,7,156,4,0,,
2,7,182,4,0,,
2,7,188,4,0,,
2,7,202,4,0,,
2,7,213,4,0,,
2,7,216,4,0,,
2,7,218,4,0,,
2,7,237,4,0,,
2,7,241,4,0,,
2,7,249,4,0,,
2,7,263,4,0,,
2,7,290,4,0,,
2,7,331,4,0,,
3,7,15,4,0,,
3,7,46,4,0,,
3,7,63,4,0,,
3,7,70,4,0,,
3,7,76,4,0,,
3,7,89,4,0,,
3,7,92,4,0,,
3,7,104,4,0,,
3,7,148,4,0,,
3,7,156,4,0,,
3,7,182,4,0,,
3,7,188,4,0,,
3,7,202,4,0,,
3,7,213,4,0,,
3,7,216,4,0,,
3,7,218,4,0,,
3,7,237,4,0,,
3,7,241,4,0,,
3,7,249,4,0,,
3,7,263,4,0,,
3,7,290,4,0,,
3,7,331,4,0,,
4,7,15,4,0,,
4,7,53,4,0,,
4,7,70,4,0,,
4,7,91,4,0,,
4,7,92,4,0,,
4,7,104,4,0,,
4,7,126,4,0,,
4,7,156,4,0,,
4,7,182,4,0,,
4,7,213,4,0,,
4,7,216,4,0,,
4,7,218,4,0,,
4,7,231,4,0,,
4,7,237,4,0,,
4,7,241,4,0,,
4,7,249,4,0,,
4,7,263,4,0,,
4,7,264,4,0,,
4,7,280,4,0,,
4,7,290,4,0,,
4,7,315,4,0,,
4,7,332,4,0,,
4,7,337,4,0,,
5,7,15,4,0,,
5,7,53,4,0,,
5,7,70,4,0,,
5,7,91,4,0,,
